obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""573.4405""","=""""","=""4.47e-03""",C,"=""95475.310""","=""112909.076""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""3/2""",,"=""u18,LS""","=""""",
"=""""","=""573.591""","=""""","=""8.94e-03""",C,"=""95475.310""","=""112904.5""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""1/2""",,"=""u18,LS""","=""""",
"=""""","=""573.9945""","=""""","=""7.49e-03""",C,"=""95493.690""","=""112910.630""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""5/2""",,"=""u18,LS""","=""""",
"=""""","=""574.0457""","=""""","=""5.71e-03""",C,"=""95493.690""","=""112909.076""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""3/2""",,"=""u18,LS""","=""""",
"=""""","=""574.197""","=""""","=""1.78e-03""",C,"=""95493.690""","=""112904.5""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""1/2""",,"=""u18,LS""","=""""",
"=""""","=""574.6958""","=""""","=""2.21e-03""",D+,"=""96750.840""","=""114146.525""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).7s""","=""4P""","=""5/2""",,"=""T5723LS""","=""""",
"=""575.250""","=""575.2499""","=""700""","=""1.06e-02""",C,"=""95532.150""","=""112911.079""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""7/2""",,"=""u18,LS""","=""L3513""",
"=""""","=""575.2648""","=""""","=""3.19e-03""",C,"=""95532.150""","=""112910.630""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""5/2""",,"=""u18,LS""","=""""",
"=""""","=""575.3162""","=""""","=""5.31e-04""",C,"=""95532.150""","=""112909.076""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4D""","=""3/2""",,"=""u18,LS""","=""""",
"=""576.475""","=""""","=""240""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
"=""""","=""577.1967""","=""""","=""2.18e-03""",D+,"=""96750.840""","=""114071.153""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).7s""","=""4P""","=""3/2""",,"=""T5723LS""","=""""",
"=""""","=""578.6835""","=""""","=""2.16e-03""",D+,"=""96750.840""","=""114026.654""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).7s""","=""4P""","=""1/2""",,"=""T5723LS""","=""""",
"=""582.954""","=""""","=""265""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
"=""585.404""","=""""","=""235""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
"=""599.943""","=""599.9431""","=""160""","=""3.64e-02""",C+,"=""93581.550""","=""110245.183""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).4d""","=""2P""","=""1/2""",,"=""T6340""","=""L3513""",
"=""600.847""","=""600.8473""","=""210""","=""3.58e-02""",C+,"=""93581.550""","=""110220.107""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).4d""","=""2P""","=""3/2""",,"=""T6340""","=""L3513""",
"=""""","=""610.338""","=""""","=""2.1e-12""",D,"=""83284.070""","=""99663.912""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",M1,"=""T7370""","=""""",
"=""""","=""611.598""","=""""","=""8.1e-12""",D,"=""83317.830""","=""99663.912""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",M1,"=""T7370""","=""""",
